Price,Open,High,Low,Change %
271.6,271.6,271.6,271.6,0.0727
256.6,256.6,256.6,256.6,-0.0552
262.4,262.4,262.4,262.4,0.0226
290.7,290.7,290.7,290.7,0.1079
293.5,293.5,293.5,293.5,0.0096
297.3,297.3,297.3,297.3,0.0129
326.7,326.7,326.7,326.7,0.0989
404.5,404.5,404.5,404.5,0.2381
385.7,385.7,385.7,385.7,-0.0465
419.1,396.5,421,390,0.0866
533.6,430.5,534.5,424,0.2732
681.5,562.5,875,558,0.2772
631,677,729,599,-0.0741
501.5,631,648.5,453,-0.2052
501.6,504,562,465,0.0002
545.2,490.6,552,478,0.0869
647.4,567,658.5,550,0.1875
619.7,662.9,691,604,-0.0428
635,620,649,600,0.0247
671.5,639.7,727,635.5,0.0575
636,682,694,620,-0.0529
624.6,648,659,585,-0.0179
591.3,636,638.5,539,-0.0533
501.7,584.3,599.5,485,-0.1515
481.5,494,519.5,480,-0.0403
513.8,467,553,453,0.0671
483.9,513.5,535,468,-0.0582
479.4,488,492,464,-0.0093
423.5,481,485.5,422.5,-0.1166
403.5,423.3,425.5,394.2,-0.0472
425,390,439,387.5,0.0533
432.7,421.7,466,417.5,0.0181
427,436,459,424,-0.0132
408.3,428.1,431,394,-0.0438
399.2,403,428.5,394,-0.0223
384.6,394.7,405,368,-0.0366
360.5,380.1,386.8,359,-0.0627
327.5,322.5,328,316.4,-0.0915
342.7,327.5,370,322.8,0.0464
322.2,345.5,345.5,321.5,-0.0598
314.8,319,337.5,295,-0.023
342.7,310.5,366.5,309,0.0886
408.6,354,430.5,330.5,0.1923
398.5,412.2,496,390.5,-0.0247
419.7,403,454.5,385,0.0532
442.6,416,443.5,416,0.0546
449.9,439.5,459.5,431.1,0.0165
510.1,492,511,490,0.1338
400.5,508.5,514,396,-0.2149
415.9,411,441,405,0.0385
430.3,417,446,417,0.0346
412,429,445,410,-0.0425
415.5,415,424.8,396.2,0.0085
412.8,416.5,430.3,409.8,-0.0065
414.4,412.5,427.5,405.5,0.0039
401.9,415.5,418.5,397,-0.0302
376.2,392,404,375.5,-0.0639
403,377,408.8,374.2,0.0712
385.1,400.5,404,372,-0.0444
373.8,381,381,363.5,-0.0293
395.8,378.5,401.5,375.1,0.0589
387.5,393.5,405.5,385,-0.021
376.1,387.8,391,376.1,-0.0294
386.8,377.1,388.5,369.5,0.0284
372.8,389.5,398,368,-0.0362
337.7,370.3,371.3,332,-0.0942
348.4,338.2,358,336.5,0.0317
344.9,340,349.5,334.5,-0.01
333.6,346,349.5,333.8,-0.0328
329.1,343.2,350,327.5,-0.0135
307.9,328.7,334.5,304.7,-0.0644
304.1,303.3,308,298,-0.0123
287,303,305.5,281.2,-0.0562
329.6,286.4,341,286.4,0.1484
314.5,321,334,315,-0.0458
316.2,315,325,309.8,0.0054
315.7,317.5,328.2,309.8,-0.0016
327.1,309,329.7,309,0.0361
333.2,325,342.2,318.5,0.0186
322.8,327,329.7,317,-0.0312
324.7,321.7,330.6,321,0.0059
322.9,325,332,322.7,-0.0055
329,324,328.2,313,0.0189
348.8,327,364,327,0.0602
339,346.5,355.4,329,-0.0281
331.1,336.2,350.9,330.5,-0.0233
346.2,332.5,348.7,328,0.0456
344.1,341.1,345.3,339,-0.0061
345.7,343.4,352,334.7,0.0046
362.7,342.5,365,342.5,0.0492
387.6,360.7,397,357.5,0.0687
425.7,393.1,431.5,392,0.0983
403.6,425.9,443,399,-0.0519
390.9,402.9,410.9,380.3,-0.0315
404.9,399,400,383,0.0358
405.1,401.5,424.5,397,0.0005
405.4,405.5,409,389,0.0007
418,410.4,425,403.9,0.0311
454.1,417.6,478.5,415,0.0864
450.2,455,475,448.8,-0.0086
449.4,445,465.5,434,-0.0018
464.1,446.8,464.8,445.3,0.0327
450.6,475,479,448,-0.0291
452.7,454.2,465.3,452.2,0.0047
468.8,453.5,491.5,452.8,0.0356
491,469.9,497,456,0.0474
486.1,488,502.3,475,-0.01
454.2,479.2,484,450,-0.0656
430.5,454.8,457.5,424,-0.0522
454.4,429.2,460,427.5,0.0555
451,457.3,462,446,-0.0075
455,445.6,459.3,444.8,0.0089
435.3,457.5,469.5,434.5,-0.0433
436.1,437.9,447,425.9,0.0018
431.3,436.8,437.2,422,-0.011
394.4,430,430,391.8,-0.0856
412.7,394.7,414.3,393.3,0.0464
424.8,411,425.7,411,0.0293
410,425,433.5,408.2,-0.0348
391.6,410.8,410.8,389.5,-0.0449
387.5,392.3,398,380,-0.0105
385.1,383.5,396.5,381.5,-0.0062
377.9,386,393,377.5,-0.0187
363.3,378,379.8,363,-0.0386
374.6,363,381,356.5,0.0311
370.5,381,386.5,365.8,-0.0109
359.9,370,375,360,-0.0286
367.2,359,369.2,359,0.0203
374.7,366,378,361,0.0204
411.6,374.2,415.5,374.2,0.0985
402.5,413,418.7,398.6,-0.0221
412.4,399.6,422,393,0.0246
406.1,413,425,405.5,-0.0153
370.2,402.5,404.1,365.8,-0.0884
368.4,367.2,381.1,367.1,-0.0049
364.3,368,375.6,362.7,-0.0111
357.9,363.6,364.7,346,-0.0176
370,358,373.3,353,0.0338
382.3,370.2,415.5,370.1,0.0332
402.5,382,408.2,378,0.0528
379.4,397,399.8,360.5,-0.0574
383.3,385.7,390.2,377.6,0.0103
394.2,383,394.2,368,0.0284
365.8,393,403.2,365.2,-0.072
367.4,369.5,371,356,0.0044
357.1,367,367.5,354.5,-0.028
355.9,360.7,366,350.3,-0.0034
361.4,356,364.3,353.2,0.0155
368.1,363.8,375,359.8,0.0185
363.6,370,371,360.6,-0.0122
348.1,363.6,363.7,348.1,-0.0426
354,348.3,356.1,341,0.0169
358.1,354.1,364.6,353.7,0.0116
367.9,355.6,369.3,353.7,0.0274
354.1,368.8,372.5,351,-0.0375
357,352.1,359.8,349.3,0.0082
353,357.5,359.3,348.5,-0.0112
343.7,350,351.4,338.2,-0.0263
337.6,344.5,345,335,-0.0177
336.4,338.5,338.5,336.1,-0.0036
343.1,336.6,345,336.4,0.0199
357.4,347.3,359.1,347.3,0.0417
342.7,356.4,356.5,332.5,-0.0411
347.8,340.8,351.2,340.8,0.0149
339.4,348.1,351,338,-0.0242
334.3,339.9,339.9,329.7,-0.015
332.8,334.4,339.2,331.8,-0.0045
330.2,330,332.7,327,-0.0078
328.4,330,334.2,328,-0.0055
337.6,329.8,339.8,326,0.028
356.5,337,354.2,336,0.056
378.3,355,384.5,355,0.0612
378.4,377.5,378.6,361.7,0.0003
407,391.9,407.5,391.2,0.0756
373,405.5,409,364.5,-0.0835
355.1,353,356.3,343,-0.048
368.7,354.3,375,350.5,0.0383
369.8,377,377,368,0.003
390.8,369.5,392.5,368.3,0.0568
381.6,391,391,375.3,-0.0235
381.4,381.3,390.5,375.7,-0.0005
391.8,381,394,375,0.0273
376.6,392,393,369.1,-0.0388
387.1,376.6,388.2,376.6,0.0279
385.8,387.4,395.7,377.7,-0.0034
383,386.7,387.7,381.5,-0.0073
386.3,383.8,387.3,375.4,0.0086
394.2,389.5,395.9,389.5,0.0205
383.5,392.6,395.2,385.5,-0.0271
380.7,384.3,386.7,379.7,-0.0073
383.1,379.5,383.6,374.5,0.0063
375.4,377.7,384.5,372,-0.0201
376.9,376.4,381,374.5,0.004
392.2,379,401,378.9,0.0406
387,393.1,397.6,386,-0.0133
385.1,388.3,388.3,383.8,-0.0049
384.9,385,392.5,383.8,-0.0005
382.3,384.1,387.1,381.6,-0.0068
382.9,382,387,381.3,0.0016
383.8,386.2,386.2,383.3,0.0024
383,383.3,386.4,381.6,-0.0021
387.2,386.3,389,381.8,0.011
387.6,387.6,390.5,385.5,0.001
405.6,387.4,407.3,387.4,0.0464
399.9,406.8,417.5,396.5,-0.0141
395.8,392.5,400.8,392.5,-0.0103
391.9,395.3,398,389.7,-0.0099
390.9,391.3,392,389.5,-0.0026
380.1,390.8,391,382.3,-0.0276
387.5,385,388,384,0.0195
386.9,387.6,390.5,386,-0.0015
377.7,386.2,386.3,377.2,-0.0238
378.1,377.3,384,377,0.0011
373,379,379,372.5,-0.0135
368.3,371.2,373.5,366,-0.0126
344.9,353.7,353.7,344.2,-0.0635
364.7,345.4,359.5,338.5,0.0574
351,346,352.4,346,-0.0376
340,351.6,351.9,337,-0.0313
344.8,342.4,347.6,340.2,0.0141
334.2,344.6,345,336.5,-0.0307
324.1,331.8,331.8,320,-0.0302
324.5,324.3,328.8,317,0.0012
334.3,324.9,335,324.9,0.0302
311.3,336,338,310.1,-0.0688
296.9,312.5,312.5,295.1,-0.0463
289.2,296.1,297.7,281.5,-0.0259
302.9,305.8,306.6,300.6,0.0474
299.1,301.9,305.5,290.8,-0.0125
300.5,295.5,303.5,292.8,0.0047
306.8,301,315.6,299,0.021
292.3,300,300,291.2,-0.0473
297,292.2,300.1,284.6,0.0161
286.3,294.2,294.2,286,-0.036
275.7,286.3,290,275.6,-0.037
296.4,287,296.9,287,0.0751
292.7,298.5,302.7,291.5,-0.0125
292.5,292.5,297,291,-0.0007
288.1,292,296.2,285.5,-0.015
286.3,289,289,282.1,-0.0062
287.5,286.8,292.5,285.5,0.0042
279.8,285,293,278.2,-0.0268
286.8,280.4,285.3,277.5,0.025
270.4,285,285,267.9,-0.0572
263.1,266.8,268.5,258.6,-0.027
256.9,257.3,258.2,252.9,-0.0236
255.8,256.8,262.7,252.5,-0.0043
297.9,255.5,320,254.1,0.1646
299.2,297.9,327.5,296,0.0044
290.1,290.8,299.7,289,-0.0304
288.5,290.8,291.5,275,-0.0055
283.2,281,288,280.5,-0.0184
292.4,282.3,322,282.2,0.0325
278.4,275,279.8,274.5,-0.0479
273.1,278.4,289.5,274,-0.019
271.7,272.7,274.4,271.3,-0.0051
290.1,272,292.5,271.8,0.0677
276.8,278.5,279,276,-0.0458
278.3,276,279,271,0.0054
273.6,277.5,277.5,272,-0.0169
264.9,272.8,275,264.5,-0.0318
270.1,265.2,270.2,265.2,0.0196
272,269.7,276,268,0.007
265.6,262.9,266.6,262.9,-0.0235
266.8,266.3,268.9,255,0.0045
257.9,260,260.4,256.6,-0.0334
264,257.2,265,255,0.0237
265.3,274.4,275,264.2,0.0049
270.6,264.7,277,264.5,0.02
266.2,263.7,267.5,263.7,-0.0163
274.4,266.2,280.8,265.8,0.0308
292.4,289.5,294,289,0.0656
279.5,291.8,292.9,274,-0.0441
273.9,280.5,280.5,272.6,-0.02
278.7,274.2,281.3,271.2,0.0175
282.1,279,283.2,276.7,0.0122
296.7,282.3,308,282.2,0.0518
302.6,298,304.5,298,0.0199
308.9,302.6,312.5,297.5,0.0208
326.5,307.5,329,306.8,0.057
313.5,326.6,330.3,316,-0.0398
303.2,315,320.5,300.8,-0.0329
312.4,303.2,318,298,0.0303
323.9,312.5,324.2,312.5,0.0368
318,322,322.9,309.8,-0.0182
316.8,321.5,321.5,316.5,-0.0038
347.6,318.1,350.5,315.5,0.0972
368.3,345.2,372,345.2,0.0596
350.2,368,388.9,342,-0.0491
335.9,342.7,343,328.4,-0.0408
339.1,336,338.4,319.3,0.0095
364.5,339,370,339,0.0749
346,362.4,370,343.4,-0.0508
354,344,362,344,0.0231
375.7,354.1,375,346,0.0613
385.4,375,388.7,375,0.0258
384.5,385.5,394,368,-0.0023
396.8,382.8,402,382.8,0.032
415.7,397.2,415.8,397,0.0476
402.2,422.5,428.2,396.5,-0.0325
396.4,403,416,392.5,-0.0144
427.3,397.5,428,391.1,0.078
387,427.2,432,380,-0.0943
394,392,396.3,377,0.0181
392.6,395.1,405,383,-0.0036
391,397.8,397.8,385,-0.0041
410.4,394,412.8,388.8,0.0496
418.7,407.3,418.8,396.8,0.0202
428.5,419.1,430,410.3,0.0234
451.3,434,454.8,434,0.0532
437.5,451.6,456.5,432.6,-0.0306
421.8,431,431,418.7,-0.0359
436.5,422.2,436,410.1,0.0349
428.7,433.4,433.4,425.5,-0.0179
435,428.3,438.2,422.7,0.0147
416.3,416.5,420.2,413.2,-0.043
435.9,416.4,442.5,414,0.0471
429.9,423.5,430.5,423.5,-0.0138
433.8,430,449.5,429.1,0.0091
469,438.5,474,438.5,0.0811
465.1,467.8,478.5,460.5,-0.0083
494.6,463,502.3,455.3,0.0634
517.1,494.2,538.5,490.1,0.0455
570.8,518.6,572.7,518.6,0.1038
561.6,571.6,575.3,535.5,-0.0161
581.8,562.5,589.6,540,0.036
651.8,582,642,582,0.1203
642.5,658,723,638,-0.0143
613.5,642.8,645.1,555,-0.0451
634.2,624,677,624,0.0337
625.9,635.4,656,609,-0.0131
598.6,591,606.2,584,-0.0436
604.1,598.9,608.9,560.5,0.0092
646.9,612.5,648,612.5,0.0708
635.2,645.7,649.5,612,-0.0181
652,640.4,655.5,607,0.0264
669.4,652.9,687.7,642,0.0267
663,673,673,640,-0.0096
680.5,665.5,692.5,656.1,0.0264
661,673.7,673.7,651.5,-0.0287
648.1,661.5,674,640,-0.0195
666.9,656.8,668.3,655.7,0.029
673,663.2,676.2,642.9,0.0091
742.8,678.6,745.7,678.6,0.1037
792,745.1,795.4,724.3,0.0662
782.2,785.3,841.3,777.6,-0.0124
834.9,783.9,843.2,777,0.0674
922.7,848.7,936.3,846.4,0.1052
972.1,924.8,973.1,884.7,0.0535
916.2,984.2,1014.6,912,-0.0575
862.8,915,948.7,863,-0.0583
887.3,855,924.7,849.6,0.0284
926.2,887.3,933.7,858.2,0.0438
913.9,943.6,986.2,893.3,-0.0133
829.3,904.9,916.1,780.9,-0.0926
874.2,829.9,919,739,0.0541
716.8,878,925.7,681,-0.1801
816.2,728.8,824,707,0.1387
883.6,817.2,882.9,740,0.0826
927.3,881.5,930.3,805.6,0.0495
941.5,929,1004.9,889.8,0.0153
922.6,945,960.8,885,-0.0201
890.7,918.6,932.5,865,-0.0346
978.8,884,980.4,881.5,0.0989
927.1,978.8,990.3,917.3,-0.0528
953.7,929.3,958.1,905.6,0.0287
951.7,952.6,971.1,931.5,-0.0021
1008,954.2,1019.8,948.7,0.0592
1039.7,1007.4,1070.2,986.8,0.0314
1181.1,1043.5,1195,1043.5,0.136
1095.2,1181,1226.4,1075,-0.0727
1083,1097.1,1161.2,1073.2,-0.0111
1118.3,1081,1127.4,1045.2,0.0326
1113.3,1119.3,1145,1085.5,-0.0045
1180.1,1112.9,1181.3,1111.3,0.06
1212.2,1178.6,1246.5,1159.2,0.0272
1245.5,1217,1264.8,1196.9,0.0275
1181.7,1241.7,1242.4,1158.7,-0.0512
1248.3,1181.8,1249.4,1174.7,0.0564
1307.8,1252.3,1315.2,1239,0.0477
1357.1,1309,1383.9,1309,0.0377
1385,1360.3,1423.2,1327.5,0.0206
1421.1,1386.8,1431.1,1362.5,0.0261
1333.8,1415.6,1423.9,1307.7,-0.0614
1409.3,1333.1,1415.7,1324.9,0.0566
1438.9,1415.3,1446.9,1385.5,0.021
1556,1433.4,1568.7,1413,0.0814
1535.9,1572.9,1576.6,1471,-0.0129
1502.3,1535.7,1558.5,1490.7,-0.0219
1628.3,1502.2,1634.9,1480,0.0839
1828.5,1623,1909.3,1607,0.123
1620.4,1825.8,1911.6,1562.4,-0.1138
1724.2,1627.8,1752,1596.6,0.0641
1745.5,1706.7,1797,1674.4,0.0124
1565.8,1747,1762.9,1525,-0.103
1737.8,1568.9,1747.7,1566,0.1098
1709.9,1738.2,1790.4,1669,-0.0161
1669.3,1698.6,1724.6,1633.8,-0.0237
1663.4,1670.4,1682.8,1613,-0.0035
1562.6,1665,1670.5,1528.5,-0.0606
1603.5,1560,1639.7,1545.5,0.0262
1610.5,1597.1,1627.5,1557.2,0.0044
1684.6,1613.4,1690,1583.1,0.046
1771.1,1689.1,1785.3,1687.7,0.0513
1717.5,1766,1794.8,1698.6,-0.0303
1710.9,1722.3,1750.5,1674.3,-0.0038
1674.8,1714.9,1722.3,1635.8,-0.0211
1660.6,1672.8,1694.7,1625.7,-0.0085
1577.7,1663.9,1683.4,1554.5,-0.0499
1594.8,1579.6,1613.1,1561.8,0.0108
1472.2,1596.8,1602.6,1323,-0.0769
1392.6,1475.8,1487.1,1342.9,-0.0541
1223.8,1389.1,1422.7,1183.2,-0.1212
1312.4,1234.7,1345.1,1208.9,0.0724
1396.1,1323,1428,1274,0.0638
1326.5,1393,1414.4,1292.1,-0.0499
1323.6,1328,1359.7,1254.1,-0.0022
1250.6,1325.7,1325.7,1229,-0.0552
1201.9,1251.4,1267,1182,-0.0389
1240.1,1204.3,1269.4,1204.3,0.0318
1321.4,1242.4,1344,1241.2,0.0656
1283.4,1335.9,1391.4,1282.4,-0.0288
1295.6,1285.1,1330,1272.4,0.0095
1245.6,1288.7,1314.2,1241.8,-0.0386
1321.8,1250,1328.7,1240.5,0.0612
1281.3,1326.7,1343.7,1280.6,-0.0306
1285.8,1284.1,1322.1,1272,0.0035
1210.5,1284.5,1286.4,1204,-0.0586
1171.1,1207.7,1247,1161.4,-0.0325
1175.2,1166.4,1202.4,1132.9,0.0035
1335.4,1335.4,1335.4,1346.7,0.1363
1384.6,1340,1391.1,1340,0.0368
1309.4,1367,1367,1323.3,-0.0543
1272.2,1272.2,1272.2,1272.2,-0.0284
1273,1273,1273,1273,0.0006
1280.7,1317.5,1318.2,1276.5,0.006
1270.8,1264,1266.8,1263,-0.0077
1183.1,1268.5,1268.5,1268,-0.069
1216.9,1216.9,1216.9,1216.9,0.0286
1183.6,1188.4,1188.4,1188.4,-0.0274
1195.2,1195.2,1195.2,1195.2,0.0098
1123.9,1131,1138.4,1131,-0.0597
1121,1121,1121,1121,-0.0026
1161.9,1161.9,1161.9,1161.9,0.0365
1273.3,1220.4,1269,1220.4,0.0959
1280.9,1304,1304,1269.7,0.006
1341.4,1341.4,1341.4,1341.4,0.0472
1269.3,1269.3,1269.3,1269.3,-0.0537
1375,1375,1375,1375,0.0833
1415.7,1402.8,1402.8,1402.8,0.0296
1367.9,1409.9,1410.7,1384.4,-0.0338
1370.4,1386.7,1386.7,1378,0.0018
1333.7,1333.7,1333.7,1333.7,-0.0268
1238.4,1334,1334,1334,-0.0715
1234.5,1236.7,1239,1236.7,-0.0031
1291.8,1232.4,1299.6,1232.4,0.0464
1334.3,1289,1323.9,1289,0.0329
1329.8,1307.6,1344,1294,-0.0034
1347.1,1333.1,1378,1333.1,0.013
1348.5,1326.9,1340,1303.2,0.001
1314,1342.8,1342.8,1313.7,-0.0256
1340.7,1289.9,1323.6,1282.3,0.0203
1388.5,1326.4,1393.7,1326.4,0.0357
1357.6,1406.6,1406.6,1367.3,-0.0223
1347.7,1353.3,1382,1351.7,-0.0073
1357.3,1382,1382,1382,0.0071
1391.9,1327.6,1372.1,1327.6,0.0255
1439.4,1399,1399,1398,0.0341
1419.2,1419.2,1419.2,1419.2,-0.014
1426,1433.4,1433.4,1433.4,0.0048
1419.1,1460.1,1460.1,1442,-0.0048
1395,1413.5,1413.5,1405.3,-0.017
1343.7,1392.4,1392.4,1353.7,-0.0368
1309.8,1327,1327,1301.9,-0.0252
1277.7,1308,1308,1265.8,-0.0245
1268.7,1266.1,1271.9,1260,-0.007
1288.2,1271.2,1296.7,1271.2,0.0154
1292.7,1289.7,1289.7,1289.7,0.0035
1347.1,1313.9,1343,1309.5,0.0421
1384,1351.8,1377.6,1351.8,0.0274
1375.3,1382.6,1388,1374,-0.0063
1350.4,1350,1368.2,1342.2,-0.0181
1340.4,1342.7,1363.9,1323.8,-0.0074
1357.5,1334.2,1350.2,1320.1,0.0128
1452.9,1373.1,1422.6,1373.1,0.0703
1473.3,1444.5,1474.2,1444.5,0.014
1563.1,1450.2,1582.4,1450.2,0.061
1514.5,1575.8,1575.8,1536.7,-0.0311
1556.9,1548.8,1556.7,1548.8,0.028
1510.7,1534.7,1534.7,1534.7,-0.0297
1567.6,1515.9,1544.2,1497.2,0.0377
1626.1,1595,1595,1595,0.0373
1596.6,1606,1707.4,1595.2,-0.0181
1606.7,1485,1503,1485,0.0063
1713.2,1747.5,1779.1,1709.5,0.0663
1776.8,1720.1,1795.4,1720.1,0.0371
1836.5,1774.5,1835,1727.5,0.0336
2026.9,1830,2035,1830,0.1037
2009.5,2098.5,2121.7,1958.3,-0.0086
1922.7,1962,1980,1919.4,-0.0432
1908.3,1918.1,1939.9,1900.5,-0.0075
1797.2,1920.9,1975.1,1788,-0.0582
1914,1826.8,1913.9,1826.8,0.065
1859.5,1934.7,1979.9,1825.5,-0.0285
1740.9,1870,1875.9,1730,-0.0638
1722.4,1759.5,1759.5,1686.1,-0.0106
1775.7,1717.9,1804.5,1717.9,0.0309
1911,1784.6,1916.4,1783.8,0.0762
1777.7,1915,1922.8,1757.6,-0.0698
1819.1,1776,1840.3,1775,0.0233
1820.1,1818.6,1837.4,1680,0.0005
1758.5,1818.6,1838.7,1723.7,-0.0338
1785.9,1759.1,1817.5,1747.9,0.0156
1776.5,1786.8,1881.9,1761,-0.0053
1779.35,1775.15,1794.4,1762.3,0.0016
